txn_id,timestamp,sender_country,receiver_country,amount_usd,channel,customer_age_days,prior_txn_24h,sanctioned_party_flag,kyc_tier,merchant_category,velocity_1h,velocity_24h,device_change_flag
TXN00001,2025-08-06T14:12:00,US,NG,12500.50,WEB,12,14,0,LITE,4829,4,14,1
TXN00002,2025-08-07T10:33:00,SG,GB,2300.00,APP,150,2,0,STANDARD,5812,0,2,0
TXN00003,2025-08-08T08:21:00,AE,UA,8000.75,API,40,8,0,LITE,6012,2,8,0
TXN00004,2025-08-05T16:45:00,GB,NG,6500.00,POS,200,12,0,STANDARD,7995,1,12,0
TXN00005,2025-08-09T09:12:00,IN,US,120.00,APP,400,1,0,FULL,5732,0,1,0
TXN00006,2025-08-04T14:50:00,US,UA,15000.00,WEB,10,15,0,LITE,6011,5,15,1
TXN00007,2025-08-06T22:33:00,CN,NG,9500.00,API,60,6,0,STANDARD,4829,3,6,0
TXN00008,2025-08-07T07:22:00,BR,MX,450.00,POS,90,3,0,FULL,5944,0,3,0
TXN00009,2025-08-08T21:50:00,AE,GB,2500.00,APP,365,4,0,STANDARD,6012,1,4,0
TXN00010,2025-08-09T18:15:00,US,NG,7800.00,WEB,25,7,0,LITE,7995,2,7,1
TXN00011,2025-08-05T11:43:00,SG,PH,600.00,API,80,5,0,STANDARD,5812,1,5,0
TXN00012,2025-08-06T10:55:00,GB,UA,3000.00,POS,50,9,0,LITE,6011,3,9,0
TXN00013,2025-08-07T13:40:00,IN,KE,150.00,APP,700,2,0,FULL,4900,0,2,0
TXN00014,2025-08-08T19:05:00,MX,NG,11000.00,WEB,15,11,0,LITE,4829,4,11,1
TXN00015,2025-08-09T06:33:00,FR,DE,220.00,POS,250,0,0,FULL,5732,0,0,0
TXN00016,2025-08-04T09:45:00,US,SG,5200.00,APP,180,3,0,STANDARD,5812,0,3,0
TXN00017,2025-08-05T20:55:00,SG,NG,13000.00,API,20,13,0,LITE,7995,5,13,1
TXN00018,2025-08-06T15:30:00,AE,PH,800.00,WEB,140,2,0,STANDARD,6012,0,2,0
TXN00019,2025-08-07T08:18:00,BR,GB,4700.00,APP,75,4,0,FULL,5944,1,4,0
TXN00020,2025-08-08T14:12:00,US,UA,9900.00,POS,35,6,0,LITE,4829,3,6,1
TXN00021,2025-08-09T17:02:00,SG,DE,750.00,WEB,250,1,0,FULL,5812,0,1,0
TXN00022,2025-08-05T10:44:00,US,KE,6000.00,APP,95,9,0,STANDARD,5732,1,9,0
TXN00023,2025-08-07T19:55:00,GB,MX,200.00,POS,180,0,0,FULL,5944,0,0,0
TXN00024,2025-08-06T12:30:00,CN,PH,3500.00,API,50,3,0,LITE,6011,0,3,0
TXN00025,2025-08-08T16:10:00,IN,NG,16000.00,WEB,20,14,0,LITE,7995,6,14,1
TXN00026,2025-08-09T08:42:00,FR,US,980.00,APP,300,2,0,FULL,4900,0,2,0
TXN00027,2025-08-05T15:24:00,SG,UA,4200.00,POS,150,4,0,STANDARD,6012,1,4,0
TXN00028,2025-08-07T18:14:00,US,PH,5700.00,WEB,60,8,0,LITE,5732,2,8,0
TXN00029,2025-08-06T13:02:00,GB,KE,1100.00,API,95,2,0,STANDARD,5944,0,2,0
TXN00030,2025-08-09T20:55:00,MX,UA,8800.00,APP,35,7,0,LITE,6011,3,7,0
TXN00031,2025-08-04T08:33:00,AE,NG,12500.00,POS,40,11,0,LITE,4829,4,11,1
TXN00032,2025-08-08T11:48:00,CN,UA,3000.00,APP,80,5,0,STANDARD,6012,1,5,0
TXN00033,2025-08-05T09:25:00,SG,BR,200.00,WEB,250,1,0,FULL,5944,0,1,0
TXN00034,2025-08-07T14:36:00,IN,PH,450.00,APP,500,2,0,FULL,5812,0,2,0
TXN00035,2025-08-09T07:25:00,FR,GB,2100.00,API,75,3,0,STANDARD,5732,0,3,0
TXN00036,2025-08-06T16:49:00,US,MX,7800.00,WEB,60,8,0,LITE,7995,2,8,0
TXN00037,2025-08-08T18:18:00,SG,NG,15000.00,POS,15,12,0,LITE,4829,5,12,1
TXN00038,2025-08-04T17:30:00,AE,UA,9000.00,APP,45,9,0,LITE,6012,3,9,0
TXN00039,2025-08-05T21:15:00,BR,KE,250.00,POS,300,0,0,FULL,4900,0,0,0
TXN00040,2025-08-07T09:40:00,MX,PH,800.00,WEB,180,2,0,STANDARD,5732,0,2,0
...  
